[2023-10-23 16:45:21,255: INFO: main: This is our custom log]
[2023-10-24 18:56:18,765: INFO: common: yaml file: config\config.yaml loaded successfully]
[2023-10-24 18:56:18,779: INFO: common: yaml file: params.yaml loaded successfully]
[2023-10-24 18:56:18,782: INFO: common: created directory at: artifacts]
[2023-10-24 18:56:18,784: INFO: common: created directory at: artifacts/data_ingestion]
[2023-10-24 18:56:18,787: INFO: 2839061434: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into fileartifacts/data_ingestion/data.zip]
[2023-10-24 18:57:24,368: INFO: 2839061434: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2023-10-24 19:06:55,790: INFO: common: yaml file: config\config.yaml loaded successfully]
[2023-10-24 19:06:55,793: INFO: common: yaml file: params.yaml loaded successfully]
[2023-10-24 19:06:55,796: INFO: common: created directory at: artifacts]
[2023-10-24 19:06:55,798: INFO: common: created directory at: artifacts/data_ingestion]
[2023-10-24 19:06:55,800: INFO: 4207290720: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into fileartifacts/data_ingestion/data.zip]
[2023-10-24 19:07:56,663: INFO: 4207290720: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2023-10-24 19:57:58,485: INFO: main: >>>>> stage Data Ingestion stage started <<<<<<]
[2023-10-24 19:57:58,499: INFO: common: yaml file: config\config.yaml loaded successfully]
[2023-10-24 19:57:58,501: INFO: common: yaml file: params.yaml loaded successfully]
[2023-10-24 19:57:58,503: INFO: common: created directory at: artifacts]
[2023-10-24 19:57:58,504: INFO: common: created directory at: artifacts/data_ingestion]
[2023-10-24 19:57:58,505: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into fileartifacts/data_ingestion/data.zip]
[2023-10-24 19:58:57,373: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2023-10-24 19:58:59,933: INFO: main: >>>>> stage Data Ingestion stage completed <<<<<<

x============x]
